custid,startlen,time,payleft,lagtest,cancelnow
6025,6,10,2,4,0
6025,6,11,1,4,0
6026,6,1,5,4,0
6026,6,2,4,4,0
6026,6,3,3,4,0
6026,6,4,2,4,0
6026,6,5,1,4,0
6026,6,6,0,0,0
6026,6,7,5,0,0
6026,6,8,4,0,0
6026,6,9,3,0,0
6026,6,10,2,0,0
6026,6,11,1,0,0
6027,12,1,11,4,0
6027,12,2,10,4,0
6027,12,3,9,4,0
6027,12,4,8,4,0
6027,12,5,7,4,0
6027,12,6,6,4,0
6027,12,7,5,4,0
6027,12,8,4,4,0
6027,12,9,3,4,0
6027,12,10,2,4,0
6027,12,11,1,4,0
6028,12,1,11,4,0
6028,12,2,10,4,0
6028,12,3,9,4,0
6028,12,4,8,4,0
6028,12,5,7,4,0
6028,12,6,6,4,0
6028,12,7,5,4,0
6028,12,8,4,4,0
6028,12,9,3,4,0
6028,12,10,2,4,0
6028,12,11,1,4,0
6029,6,1,5,4,0
6029,6,2,4,4,0
6029,6,3,3,4,0
6029,6,4,2,4,0
6029,6,5,1,4,0
6029,6,6,0,4,1
6030,12,1,11,4,0
6030,12,2,10,4,0
6030,12,3,9,4,1
6031,6,1,5,4,0
6031,6,2,4,4,0
6031,6,3,3,4,0
6031,6,4,2,4,0
6031,6,5,1,4,0
6031,6,6,0,4,0
6031,6,7,5,4,0
6031,6,8,4,4,0
6031,6,9,3,0,0
6031,6,10,2,4,0
6031,6,11,1,2,0
6032,1,1,0,0,0
6032,1,2,0,0,0
6032,1,3,0,0,0
6032,1,4,0,0,0
6032,1,5,0,0,0
6032,1,6,0,0,0
6032,1,7,0,0,0
6032,1,8,0,0,1
6033,12,1,11,4,0
6033,12,2,10,4,0
6033,12,3,9,4,0
6033,12,4,8,4,0
6033,12,5,7,4,0
6033,12,6,6,4,0
6033,12,7,5,4,0
6033,12,8,4,4,0
6033,12,9,3,4,0
6033,12,10,2,4,0
6033,12,11,1,4,0
6034,1,1,0,4,0
6034,1,2,0,4,0
6034,1,3,0,4,0
6034,1,4,0,4,0
6034,1,5,0,4,0
6034,1,6,0,4,0
6034,1,7,0,4,0
6034,1,8,0,0,1
6035,1,1,0,4,0
6035,1,2,0,4,0
6035,1,3,0,4,0
6035,1,4,0,0,0
6035,1,5,0,0,0
6035,1,6,0,0,0
6035,1,7,0,0,1
6036,1,1,0,4,0
6036,1,2,0,4,0
6036,1,3,0,4,0
6036,1,4,0,4,0
6036,1,5,0,4,0
6036,1,6,0,4,0
6036,1,7,0,4,0
6036,1,8,0,0,0
6036,1,9,0,4,0
6036,1,10,0,0,0
6036,1,11,0,4,0
6037,6,1,5,4,0
6037,6,2,4,4,0
6037,6,3,3,4,0
6037,6,4,2,4,0
6037,6,5,1,4,0
6037,6,6,0,4,0
6037,6,7,5,4,0
6037,6,8,4,4,0
6037,6,9,3,4,0
6037,6,10,2,4,0
6037,6,11,1,4,0
6038,12,1,11,4,0
6038,12,2,10,4,0
6038,12,3,9,4,0
6038,12,4,8,4,0
6038,12,5,7,4,0
6038,12,6,6,4,0
6038,12,7,5,4,0
6038,12,8,4,4,0
6038,12,9,3,4,0
6038,12,10,2,3,0
6038,12,11,1,4,0
6039,1,1,0,4,0
6039,1,2,0,4,0
6039,1,3,0,4,0
6039,1,4,0,4,0
6039,1,5,0,4,0
6039,1,6,0,0,0
6039,1,7,0,0,0
6039,1,8,0,4,0
6039,1,9,0,0,0
6039,1,10,0,0,1
6040,1,1,0,4,0
6040,1,2,0,4,0
6040,1,3,0,4,0
6040,1,4,0,4,0
6040,1,5,0,4,0
6040,1,6,0,4,0
6040,1,7,0,4,0
6040,1,8,0,4,0
6040,1,9,0,4,0
6040,1,10,0,4,0
6040,1,11,0,4,0
6041,1,1,0,0,0
6041,1,2,0,0,0
6041,1,3,0,0,0
6041,1,4,0,0,0
6041,1,5,0,0,0
6041,1,6,0,4,0
6041,1,7,0,3,0
6041,1,8,0,0,0
6041,1,9,0,0,0
6041,1,10,0,0,0
6041,1,11,0,0,0
6042,6,1,5,4,0
6042,6,2,4,4,0
6042,6,3,3,4,0
6042,6,4,2,0,0
6042,6,5,1,0,0
6042,6,6,0,0,0
6042,6,7,5,0,0
6042,6,8,4,0,0
6042,6,9,3,0,0
6042,6,10,2,0,0
6042,6,11,1,0,0
6043,12,1,11,4,0
6043,12,2,10,4,0
6043,12,3,9,4,0
6043,12,4,8,4,0
6043,12,5,7,4,0
6043,12,6,6,4,0
6043,12,7,5,4,0
6043,12,8,4,4,0
6043,12,9,3,4,0
6043,12,10,2,4,0
6043,12,11,1,4,0
6044,6,1,5,4,0
6044,6,2,4,4,0
6044,6,3,3,4,0
6044,6,4,2,4,0
6044,6,5,1,4,0
6044,6,6,0,4,0
6044,6,7,5,4,0
6044,6,8,4,4,0
6044,6,9,3,4,0
6044,6,10,2,4,0
6044,6,11,1,4,0
6045,12,1,11,4,0
6045,12,2,10,4,0
6045,12,3,9,4,0
6045,12,4,8,4,0
6045,12,5,7,4,0
6045,12,6,6,4,0
6045,12,7,5,3,0
6045,12,8,4,2,0
6045,12,9,3,4,0
6045,12,10,2,4,0
6045,12,11,1,2,0
6046,12,1,11,4,0
6046,12,2,10,4,0
6046,12,3,9,4,0
6046,12,4,8,4,0
6046,12,5,7,4,0
6046,12,6,6,4,0
6046,12,7,5,4,0
6046,12,8,4,4,0
6046,12,9,3,4,0
6046,12,10,2,4,0
6046,12,11,1,4,0
6047,12,1,11,4,0
6047,12,2,10,4,0
6047,12,3,9,4,0
6047,12,4,8,4,0
6047,12,5,7,4,0
6047,12,6,6,4,0
6047,12,7,5,4,0
6047,12,8,4,4,0
6047,12,9,3,4,0
6047,12,10,2,0,0
6047,12,11,1,0,0
6048,1,1,0,4,0
6048,1,2,0,4,0
6048,1,3,0,4,0
6048,1,4,0,4,0
6048,1,5,0,4,0
6048,1,6,0,4,0
6048,1,7,0,4,0
6048,1,8,0,4,0
6048,1,9,0,4,0
6048,1,10,0,4,0
6048,1,11,0,4,0
6049,6,1,5,4,0
6049,6,2,4,4,0
6049,6,3,3,4,0
6049,6,4,2,4,0
6049,6,5,1,4,0
6049,6,6,0,4,0
6049,6,7,5,4,0
6049,6,8,4,4,0
6049,6,9,3,4,0
6049,6,10,2,4,0
6049,6,11,1,4,0
6050,12,1,11,2,0
6050,12,2,10,2,0
6050,12,3,9,0,0
6050,12,4,8,0,0
6050,12,5,7,0,0
6050,12,6,6,0,0
6050,12,7,5,0,1
6051,12,1,11,4,0
6051,12,2,10,4,0
6051,12,3,9,4,0
6051,12,4,8,4,0
6051,12,5,7,4,0
6051,12,6,6,4,0
6051,12,7,5,4,0
6051,12,8,4,4,0
6051,12,9,3,4,0
6051,12,10,2,4,0
6051,12,11,1,4,0
6052,1,1,0,0,0
6052,1,2,0,0,0
6052,1,3,0,0,0
6052,1,4,0,0,0
6052,1,5,0,0,0
6052,1,6,0,0,0
6052,1,7,0,0,0
6052,1,8,0,0,0
6052,1,9,0,0,0
6052,1,10,0,0,0
